Epoch 35/50 | Train Loss: 0.5143 | Test Loss: 0.5367 | Test Accuracy: 0.8165
Epoch 36/50 | Train Loss: 0.5108 | Test Loss: 0.5336 | Test Accuracy: 0.8186
Epoch 37/50 | Train Loss: 0.5079 | Test Loss: 0.5319 | Test Accuracy: 0.8172
Epoch 38/50 | Train Loss: 0.5048 | Test Loss: 0.5288 | Test Accuracy: 0.8192
Epoch 39/50 | Train Loss: 0.5017 | Test Loss: 0.5262 | Test Accuracy: 0.8186
Epoch 40/50 | Train Loss: 0.4991 | Test Loss: 0.5235 | Test Accuracy: 0.8187
Epoch 41/50 | Train Loss: 0.4965 | Test Loss: 0.5207 | Test Accuracy: 0.8210
Epoch 42/50 | Train Loss: 0.4940 | Test Loss: 0.5187 | Test Accuracy: 0.8227
Epoch 43/50 | Train Loss: 0.4915 | Test Loss: 0.5162 | Test Accuracy: 0.8220
Epoch 44/50 | Train Loss: 0.4893 | Test Loss: 0.5143 | Test Accuracy: 0.8215
Epoch 45/50 | Train Loss: 0.4870 | Test Loss: 0.5127 | Test Accuracy: 0.8225
Epoch 46/50 | Train Loss: 0.4846 | Test Loss: 0.5120 | Test Accuracy: 0.8219
Epoch 47/50 | Train Loss: 0.4827 | Test Loss: 0.5089 | Test Accuracy: 0.8230
Epoch 48/50 | Train Loss: 0.4804 | Test Loss: 0.5066 | Test Accuracy: 0.8231
Epoch 49/50 | Train Loss: 0.4786 | Test Loss: 0.5047 | Test Accuracy: 0.8246
Epoch 50/50 | Train Loss: 0.4765 | Test Loss: 0.5029 | Test Accuracy: 0.8253
Epoch 1/5 | Train Loss: 0.5059 | Test Loss: 0.4424 | Test Accuracy: 0.8402
Epoch 2/5 | Train Loss: 0.3715 | Test Loss: 0.3889 | Test Accuracy: 0.8566
Epoch 3/5 | Train Loss: 0.3294 | Test Loss: 0.3619 | Test Accuracy: 0.8696
Epoch 4/5 | Train Loss: 0.3032 | Test Loss: 0.3658 | Test Accuracy: 0.8720
Epoch 5/5 | Train Loss: 0.2847 | Test Loss: 0.3433 | Test Accuracy: 0.8769
Epoch 1/5 | Train Loss: 0.5004 | Test Loss: 0.4354 | Test Accuracy: 0.8439
Epoch 2/5 | Train Loss: 0.3679 | Test Loss: 0.3853 | Test Accuracy: 0.8601
Epoch 3/5 | Train Loss: 0.3297 | Test Loss: 0.3682 | Test Accuracy: 0.8631
Epoch 4/5 | Train Loss: 0.3049 | Test Loss: 0.3791 | Test Accuracy: 0.8590
Epoch 5/5 | Train Loss: 0.2835 | Test Loss: 0.3346 | Test Accuracy: 0.8785
Epoch 1/2 | Train Loss: 0.4984 | Test Loss: 0.4167 | Test Accuracy: 0.8467
Epoch 1/5 | Train Loss: 0.5032 | Test Loss: 0.4173 | Test Accuracy: 0.8505
Epoch 2/5 | Train Loss: 0.3691 | Test Loss: 0.3842 | Test Accuracy: 0.8629
Epoch 3/5 | Train Loss: 0.3291 | Test Loss: 0.3718 | Test Accuracy: 0.8647
Epoch 4/5 | Train Loss: 0.3015 | Test Loss: 0.3511 | Test Accuracy: 0.8753
Epoch 5/5 | Train Loss: 0.2856 | Test Loss: 0.3433 | Test Accuracy: 0.8775
Epoch 1/20 | Train Loss: 0.4989 | Test Loss: 0.4650 | Test Accuracy: 0.8367
Epoch 2/20 | Train Loss: 0.3658 | Test Loss: 0.3717 | Test Accuracy: 0.8677
Epoch 3/20 | Train Loss: 0.3260 | Test Loss: 0.3565 | Test Accuracy: 0.8713
Epoch 4/20 | Train Loss: 0.2996 | Test Loss: 0.3519 | Test Accuracy: 0.8722
Epoch 5/20 | Train Loss: 0.2837 | Test Loss: 0.3470 | Test Accuracy: 0.8767
Epoch 6/20 | Train Loss: 0.2688 | Test Loss: 0.3265 | Test Accuracy: 0.8846
Epoch 7/20 | Train Loss: 0.2559 | Test Loss: 0.3269 | Test Accuracy: 0.8804
Epoch 8/20 | Train Loss: 0.2446 | Test Loss: 0.3195 | Test Accuracy: 0.8830
Epoch 9/20 | Train Loss: 0.2343 | Test Loss: 0.3204 | Test Accuracy: 0.8900
